SID,SEASON,BASIN,SUBBASIN,NAME,ISO_TIME,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND
2000227N23267,2000,NA,GM,BERYL,13/08/2000 18:00,22.5,-93.5, ,TD,30
2000227N23267,2000,NA,GM,BERYL,13/08/2000 21:00,22.5799,-93.6001, ,TD,30
2000227N23267,2000,NA,GM,BERYL,14/08/2000 0:00,22.7,-93.8, ,TD,30
2000227N23267,2000,NA,GM,BERYL,14/08/2000 3:00,22.8851,-94.1624, ,TD,32
2000227N23267,2000,NA,GM,BERYL,14/08/2000 6:00,23.1,-94.6, ,TS,35
2000227N23267,2000,NA,GM,BERYL,14/08/2000 9:00,23.2998,-94.9927, ,TS,37
2000227N23267,2000,NA,GM,BERYL,14/08/2000 12:00,23.5,-95.4, ,TS,40
2000227N23267,2000,NA,GM,BERYL,14/08/2000 15:00,23.7151,-95.8574, ,TS,42
2000227N23267,2000,NA,GM,BERYL,14/08/2000 18:00,23.9,-96.3, ,TS,45
2000227N23267,2000,NA,GM,BERYL,14/08/2000 21:00,23.9998,-96.6654, ,TS,45
2000227N23267,2000,NA,GM,BERYL,15/08/2000 0:00,24.1,-97, ,TS,45
2000227N23267,2000,NA,GM,BERYL,15/08/2000 3:00,24.2848,-97.3351, ,TS,45
2000227N23267,2000,NA,NA,BERYL,15/08/2000 6:00,24.5,-97.7, ,TS,45
2000227N23267,2000,NA,NA,BERYL,15/08/2000 9:00,24.7073,-98.1126, ,TS,37
2000227N23267,2000,NA,NA,BERYL,15/08/2000 12:00,24.9,-98.6, ,TD,30
2000227N23267,2000,NA,NA,BERYL,15/08/2000 15:00,25.0606,-99.1748, ,TD,27
2000227N23267,2000,NA,NA,BERYL,15/08/2000 18:00,25.2,-99.8, ,TD,25
2000231N14308,2000,NA,NA,CHRIS,17/08/2000 12:00,14.2,-51.9, ,TD,25
2000231N14308,2000,NA,NA,CHRIS,17/08/2000 15:00,14.4478,-52.3822, ,TD,25
2000231N14308,2000,NA,NA,CHRIS,17/08/2000 18:00,14.7,-52.8, ,TD,25
2000231N14308,2000,NA,NA,CHRIS,17/08/2000 21:00,14.9573,-53.1151, ,TD,25
2000231N14308,2000,NA,NA,CHRIS,18/08/2000 0:00,15.2,-53.4, ,TD,25
2000231N14308,2000,NA,NA,CHRIS,18/08/2000 3:00,15.3922,-53.6979, ,TD,27
2000231N14308,2000,NA,NA,CHRIS,18/08/2000 6:00,15.6,-54.1, ,TD,30
2000231N14308,2000,NA,NA,CHRIS,18/08/2000 9:00,15.8853,-54.7198, ,TD,32
2000231N14308,2000,NA,NA,CHRIS,18/08/2000 12:00,16.2,-55.4, ,TS,35
2000231N14308,2000,NA,NA,CHRIS,18/08/2000 15:00,16.5072,-55.9577, ,TS,32
2000231N14308,2000,NA,NA,CHRIS,18/08/2000 18:00,16.8,-56.5, ,TD,30
2000231N14308,2000,NA,NA,CHRIS,18/08/2000 21:00,17.0573,-57.0852, ,TD,27
2000231N14308,2000,NA,NA,CHRIS,19/08/2000 0:00,17.3,-57.7, ,TD,25
2000231N14308,2000,NA,NA,CHRIS,19/08/2000 3:00,17.5498,-58.3352, ,TD,25
2000231N14308,2000,NA,NA,CHRIS,19/08/2000 6:00,17.8,-59, ,TD,25
2000231N14308,2000,NA,NA,CHRIS,19/08/2000 9:00,18.0505,-59.6921, ,TD,22
2000231N14308,2000,NA,NA,CHRIS,19/08/2000 12:00,18.3,-60.4, ,TD,20
2000233N12316,2000,NA,NA,DEBBY,19/08/2000 18:00,12,-44.5, ,TD,30
2000233N12316,2000,NA,NA,DEBBY,19/08/2000 21:00,12.29,-44.8424, ,TD,30
2000233N12316,2000,NA,NA,DEBBY,20/08/2000 0:00,12.6,-45.3, ,TD,30
2000233N12316,2000,NA,NA,DEBBY,20/08/2000 3:00,12.9423,-45.9602, ,TD,32
2000233N12316,2000,NA,NA,DEBBY,20/08/2000 6:00,13.3,-46.8, ,TS,35
2000233N12316,2000,NA,NA,DEBBY,20/08/2000 9:00,13.6502,-47.7776, ,TS,37
